,Id,Company,Model,Horsepower,Torque,Transmission Type,Drivetrain,Fuel Economy,Number of Doors,Price,Model Year Range,Body Type,Engine Type,Number of Cylinders,Seats,Fuel Type,Colour
0,45cbdca6-6c96-4456-a45e-7f5bedfd7e2b,Ferrari,812 Superfast,789 hp,530 lb-ft,7-speed automatic,RWD,13/20 mpg,2,"$366,712",2018 - Present,Coupe,6.5L V12,12,5,CNG,"['red', 'white', 'black', 'grey', 'green', 'yellow']"
1,aa5eb2e9-4577-481c-846d-9a75a13d8599,Ferrari,F8 Tributo,710 hp,568 lb-ft,7-speed automatic,RWD,15/19 mpg,2,"$276,550",2020 - Present,Coupe,3.9L V8,8,7,Petrol,"['blue', 'grey', 'silver', 'brown']"
2,da8c5cb5-76ec-4a8b-9c5e-9dff053784f8,Ferrari,Roma,611 hp,560 lb-ft,8-speed automatic,RWD,16/24 mpg,2,"$218,750",2021 - Present,Coupe,3.9L V8,8,4,Petrol,"['white', 'black', 'silver', 'grey', 'green', 'yellow', 'silver', 'brown']"
3,504ece18-deba-4e0d-8588-b08311b2635a,Ferrari,Portofino M,612 hp,561 lb-ft,8-speed automatic,RWD,16/22 mpg,2,"$254,475",2021 - Present,Convertible,3.9L V8,8,4,CNG,"['red', 'white', 'blue', 'black', 'silver', 'grey', 'green', 'yellow', 'silver', 'brown']"
4,590abe94-ed8e-4b4e-b25b-6cf9298e7735,Ferrari,SF90 Stradale,986 hp,590 lb-ft,8-speed automatic,AWD,18 mpg (combined),2,"$625,000",2020 - Present,Coupe,4.0L V8,8,2,Petrol,"['red', 'white', 'black', 'silver', 'yellow']"
5,626e79b0-8bc2-439d-8615-db06db43de6b,Ferrari,488 Pista,711 hp,568 lb-ft,7-speed automatic,RWD,15/20 mpg,2,"$350,050",2019 - 2020,Coupe,3.9L V8,8,4,Petrol,"['red', 'white', 'blue', 'black', 'yellow', 'brown']"
6,49daf659-e0bb-4d09-97ea-d79353987005,Ferrari,GTC4Lusso,680 hp,514 lb-ft,7-speed automatic,AWD,12/17 mpg,4,"$298,750",2017 - 2020,Hatchback,6.3L V12,12,4,Petrol,"['blue', 'black', 'silver', 'green', 'silver']"
7,ddd8308e-5400-422d-bc15-b72107020059,Ferrari,488 GTB,661 hp,561 lb-ft,7-speed automatic,RWD,15/22 mpg,2,"$262,647",2016 - 2019,Coupe,3.9L V8,8,4,CNG,"['grey', 'silver', 'brown']"
8,f721e40e-e9bc-4025-9b70-d73f7b74984d,Ferrari,California T,553 hp,557 lb-ft,7-speed automatic,RWD,16/23 mpg,2,"$202,723",2015 - 2018,Convertible,3.9L V8,8,7,CNG,"['blue', 'grey', 'green', 'yellow', 'silver', 'brown']"
9,7bb790e2-5ec6-411a-b0f2-f751583df27b,Ferrari,LaFerrari,950 hp,664 lb-ft,7-speed automatic,RWD,12 mpg (combined),2,"$1,420,000",2014 - 2016,Coupe,6.3L V12,12,5,CNG,"['red', 'white', 'blue', 'silver', 'grey', 'silver', 'brown']"
10,04b4669e-0dab-47d9-82a9-867304e1931f,Mahindra,XUV300,109 hp,200 Nm,"6-speed Manual, 6-speed AMT",FWD,13-20 km/l,5,Rs. 7.96 - 13.33 Lakh,2019 - present,SUV,"1.2L Turbo Petrol, 1.5L Turbo Diesel",3/4,7,Diesel,"['blue', 'black', 'grey', 'yellow', 'silver', 'brown']"
11,1bd0843f-6f79-421b-971a-3a3081bf935b,Mahindra,Scorpio,140 hp,320 Nm,6-speed Manual,RWD,15 km/l,"5, 7",Rs. 12.57 - 16.53 Lakh,2020 - present,SUV,2.2L mHawk Diesel,4,4,Petrol,"['red', 'black', 'green', 'yellow', 'silver']"
12,85b062db-79d5-475d-b99b-9369802dcb96,Mahindra,Thar,"152 hp (petrol), 132 hp (diesel)","320 Nm (petrol), 300 Nm (diesel)","6-speed Manual, 6-speed AT",4WD,7-12 km/l,"4, 6",Rs. 12.11 - 16.86 Lakh,2020 - present,SUV,"2.0L Turbo Petrol, 2.2L mHawk Diesel",4,2,CNG,"['blue', 'silver', 'grey', 'yellow', 'silver']"
13,4b844cae-0d0f-471a-8f2e-825096363523,Mahindra,Bolero,75 hp,210 Nm,5-speed Manual,RWD,16 km/l,"5, 7",Rs. 8.67 - 9.39 Lakh,2001 - present,SUV,1.5L mHawk75 Diesel,3,5,Petrol,"['white', 'blue', 'green', 'yellow', 'silver']"
14,65dff8ca-cdb0-47d7-ba7a-b3d06f49de0e,Mahindra,Marazzo,121 hp,300 Nm,6-speed Manual,FWD,17 km/l,"7, 8",Rs. 12.4 - 14.12 Lakh,2018 - present,MPV,1.5L mHawk Diesel,4,7,Diesel,"['red', 'blue', 'black', 'silver', 'grey', 'green', 'silver', 'brown']"
15,efdad5c6-7bd3-4859-8ee2-65b359a29094,Mahindra,Alturas G4,178 hp,420 Nm,7-speed Automatic,AWD,12 km/l,5,Rs. 28.74 - 31.73 Lakh,2018 - present,SUV,2.2L mHawk Diesel,4,4,CNG,"['red', 'white', 'black', 'green', 'yellow', 'silver', 'brown']"
16,c8299a5c-041a-4202-9420-131931deac12,Toyota,Camry,203-301 hp,182-267 lb-ft,8-speed automatic,FWD,26-34 mpg,4,"$25,045-$35,130",2018-2021,Sedan,2.5L 4-cylinder / 3.5L V6,4 / 6,7,Diesel,"['white', 'blue', 'silver', 'grey', 'yellow', 'silver']"
17,ed274a64-f613-4e70-acec-bb35794feada,Toyota,Corolla,169 hp,151 lb-ft,Continuously variable-speed automatic,FWD,30-33 mpg,4,"$20,025-$25,725",2019-2021,Sedan,2.0L 4-cylinder,4,5,Petrol,"['red', 'black', 'green']"
18,f518135c-8dc8-45c1-b042-87ed4cea2040,Toyota,RAV4,203-219 hp,184-265 lb-ft,8-speed automatic,FWD / AWD,27-40 mpg,4,"$26,250-$37,330",2019-2021,SUV,2.5L 4-cylinder,4,5,Diesel,"['blue', 'black', 'silver', 'yellow', 'silver', 'brown']"
19,e485b77e-51de-4eab-adfc-62885b082ab0,Toyota,Highlander,295-295 hp,263-263 lb-ft,8-speed automatic,FWD / AWD,21-36 mpg,4,"$35,085-$47,230",2019-2021,SUV,3.5L V6,6,5,Petrol,"['silver', 'green', 'brown']"
20,1a7ec113-eac5-4a56-8a77-04bd02fca57d,Toyota,4Runner,270 hp,278 lb-ft,5-speed automatic,RWD / 4WD,16-19 mpg,4,"$36,765-$50,745",2018-2021,SUV,4.0L V6,6,5,Diesel,"['silver', 'green', 'brown']"
21,7d09e741-c156-4ffe-9377-68d10eb5ac7e,Toyota,Tacoma,159-278 hp,180-265 lb-ft,6-speed automatic / 6-speed manual,RWD / 4WD,18-23 mpg,2 / 4,"$26,150-$46,780",2019-2021,Pickup truck,2.7L 4-cylinder / 3.5L V6,4 / 6,5,Diesel,"['red', 'white', 'silver', 'grey', 'yellow', 'brown']"
22,ba6a2fba-00db-4732-991e-e7f02afbc3d2,Toyota,Tundra,381 hp,401 lb-ft,6-speed automatic,RWD / 4WD,13-17 mpg,2 / 4,"$33,675-$51,995",2018-2021,Pickup truck,5.7L V8,8,2,Petrol,"['white', 'blue', 'black', 'grey', 'green', 'yellow']"
23,bbc5b475-3a02-45c6-9954-d90356580c19,Ford,Mustang,310-760 hp,350-625 lb-ft,6-speed manual/10-speed automatic,RWD,16-21 mpg city / 24-32 mpg highway,2,"$28,450-$61,600",2015-2021,Coupe/Convertible,Gas V6/V8,4/6/2008,2,Diesel,"['blue', 'black', 'silver', 'yellow', 'brown']"
24,945e3c34-8a46-400f-9a53-2c7827969c31,Ford,F-150,290-450 hp,265-510 lb-ft,6-speed automatic/10-speed automatic,RWD/4WD,16-20 mpg city / 22-26 mpg highway,2/4,"$28,940-$70,825",2015-2021,Pickup Truck,"Gas V6/V8, Diesel V6",6/8,5,CNG,"['red', 'black', 'silver', 'grey']"
25,f9e53d37-5464-4dd0-b56c-9c9cc4bbeac0,Ford,Explorer,300-400 hp,310-415 lb-ft,10-speed automatic,FWD/AWD,18-21 mpg city / 24-28 mpg highway,4,"$33,860-$54,365",2015-2021,SUV,"Gas I4/V6, Hybrid V6",4/6,2,CNG,['blue']
26,d588368e-1c62-42f2-91ae-653acbfb33ce,Ford,Escape,181-250 hp,190-280 lb-ft,8-speed automatic,FWD/AWD,23-26 mpg city / 31-34 mpg highway,4,"$26,130-$40,395",2015-2021,SUV,"Gas I3/I4, Hybrid I4",3/4,7,Diesel,"['black', 'silver', 'grey', 'green', 'silver']"
27,116cc92c-c928-4b57-9585-cf13d313d479,Ford,Edge,250-335 hp,275-380 lb-ft,8-speed automatic,FWD/AWD,21-22 mpg city / 28-29 mpg highway,4/5,"$32,250-$43,400",2015-2021,SUV,Gas I4/V6,4/6,2,Diesel,"['blue', 'silver', 'grey', 'silver']"
28,d22f1679-78a7-424b-8394-f4526cbd5138,Ford,Ranger,270 hp,310 lb-ft,10-speed automatic,RWD/4WD,21-23 mpg city / 26-26 mpg highway,4,"$24,820-$42,660",2019-2021,Pickup Truck,Gas I4,4,2,Diesel,"['red', 'white', 'silver', 'grey', 'brown']"
29,e96aced5-deb0-4726-8aaa-f297a47ba333,Ford,Bronco Sport,181-245 hp,190-275 lb-ft,8-speed automatic,4WD,23-25 mpg city / 28-32 mpg highway,4,"$26,820-$38,160",2021,SUV,Gas I3/I4,3/4,5,CNG,"['red', 'black', 'silver', 'silver']"
30,74870ce4-9b14-4bb8-9157-c27ec2060dc6,Chevrolet,Camaro,275-650,295-650,"Manual, Automatic",RWD,16-23 mpg,2,"$25,000-$72,000",2010-2021,Coupe,Gas,"4, 6, 2008",5,Petrol,"['red', 'black', 'grey', 'yellow']"
31,866fb3cb-5342-4a2e-a707-aed099d1cfd7,Chevrolet,Corvette,490-755,465-715,"Manual, Automatic",RWD,15-23 mpg,2,"$60,000-$125,000",1953-2021,"Coupe, Convertible",Gas,"6, 8",4,Diesel,"['black', 'silver', 'green', 'silver', 'brown']"
32,388d1fe1-b756-4bcb-b1ec-a1182915f199,Chevrolet,Spark,98,94,CVT,FWD,30-33 mpg,4,"$13,400-$16,800",2013-2021,Hatchback,Gas,4,2,Diesel,"['red', 'white', 'black', 'silver', 'brown']"
33,5662d272-24a2-4369-95ac-57ed7c8fc7c4,Chevrolet,Bolt EV,200,266,Electric,FWD,118 mpg-e,4,"$36,500-$41,700",2017-2021,Hatchback,Electric,,5,Diesel,"['white', 'silver', 'yellow', 'brown']"
34,719ffcf5-4ba3-45b5-808d-e201fa9627d2,Chevrolet,Equinox,170-252,203-260,Automatic,FWD/AWD,22-28 mpg,4/5,"$25,000-$35,000",2005-2021,SUV,Gas,"4, 6",4,Petrol,"['red', 'white', 'blue', 'grey', 'green', 'yellow', 'silver', 'brown']"
35,623091c2-fa9d-48e5-90bb-be072d4d0b82,Chevrolet,Suburban,355,383,Automatic,RWD/4WD,15-20 mpg,4/5/6/8,"$51,700-$76,000",1935-2021,SUV,Gas,"6, 8",2,Petrol,"['red', 'blue', 'grey', 'green']"
36,2ef10378-0fdb-4e5c-b227-14943e1fe8e9,Chevrolet,Tahoe,355-420,383-460,Automatic,RWD/4WD,15-22 mpg,4/5/6/8,"$49,000-$75,000",1995-2021,SUV,Gas,"6, 8",5,CNG,"['grey', 'green', 'yellow', 'silver']"
37,c99993be-f7c3-42fb-9df2-9389b183429a,Chevrolet,Silverado 1500,285-420,305-460,Automatic,RWD/4WD,16-23 mpg,2/4,"$28,000-$60,000",1999-2021,Truck,Gas,"6, 8",2,CNG,"['black', 'grey', 'silver', 'brown']"
38,3dedb7a4-898f-4f89-b0dd-84b235f6852b,Chevrolet,Colorado,200-308,191-369,"Manual, Automatic",RWD/4WD,17-22 mpg,2/4,"$26,000-$45,000",2004-2021,Truck,"Gas, Diesel","4, 5, 2006",7,CNG,"['blue', 'black', 'silver', 'grey', 'green']"
39,42126f19-3da1-4dba-88ec-9f9a52e9a59e,Chevrolet,Silverado HD (2500/3500),401-445,464-910,Automatic,RWD/4WD,13-20 mpg,2/4/2005,,,,,,7,Diesel,"['white', 'yellow', 'brown']"
40,45b0173c-413c-4e65-a5ea-6b5a9fb8a7a0,Nissan,Altima,188-248,180-273,CVT,FWD,28-32 mpg,4,"$25,225-$36,550",2019-2022,Sedan,Gas,4,2,Diesel,"['red', 'black', 'green', 'silver', 'brown']"
41,bb474a33-48c9-4da1-9aef-b726912de54b,Nissan,Maxima,300,261,CVT,FWD,23-26 mpg,4,"$37,240-$44,030",2019-2022,Sedan,Gas,6,5,Petrol,"['red', 'blue', 'black', 'yellow']"
42,facc93d1-ee66-4792-8c7a-622ef150faa4,Nissan,Sentra,149-188,146-180,CVT,FWD,28-33 mpg,4,"$20,460-$24,940",2019-2022,Sedan,Gas,4,5,Petrol,"['white', 'black', 'grey', 'yellow', 'silver']"
43,7aef1518-9cc8-40cc-a4f0-b3a880bc0ae2,Nissan,Versa,122,114,CVT,FWD,32-35 mpg,4,"$15,650-$18,340",2019-2022,Sedan,Gas,4,5,Diesel,"['white', 'black', 'silver', 'grey', 'yellow']"
44,634177e6-ffb6-48dc-94d8-2b52048dc712,Nissan,Rogue,181,181,CVT,FWD or AWD,27-30 mpg,4,"$26,980-$34,430",2019-2022,SUV,Gas,4,4,Diesel,"['white', 'blue', 'black', 'silver', 'green', 'yellow', 'brown']"
45,3e1abb5b-d36a-4fe6-b1de-7c0f7ad8a303,Nissan,Murano,260,240,CVT,FWD or AWD,20-24 mpg,4,"$32,610-$45,030",2019-2022,SUV,Gas,6,5,Petrol,"['white', 'blue', 'black', 'silver', 'green']"
46,fbfd9b37-1339-4e09-81db-ea1af7ff376d,Nissan,Pathfinder,284-284,259-259,9-speed automatic,FWD or AWD,20-24 mpg,4,"$32,940-$45,340",2019-2022,SUV,Gas,6,5,Petrol,"['red', 'white', 'blue', 'black', 'silver', 'grey', 'green']"
47,7302d999-be0d-4632-b18f-7cf194fd8cba,Nissan,Armada,390,394,7-speed automatic,RWD or AWD,13-16 mpg,4,"$52,300-$69,050",2019-2022,SUV,Gas,8,2,Diesel,"['white', 'black', 'green', 'yellow', 'brown']"
48,75e11383-3367-4ec7-97d4-9bddd751b75d,Nissan,GT-R,565-600,467-481,6-speed automatic,AWD,16-20 mpg,2,"$113,540-$210,740",2019-2022,Sports Car,Gas,6,2,Diesel,"['red', 'white', 'blue', 'black', 'grey', 'green', 'yellow', 'brown']"
49,ef83008c-c65e-427f-b1d5-742b03e5879f,BMW,X1 sDrive28i,228 hp,258 lb-ft,8-speed Automatic,FWD,26/33 mpg,4,"$35,400",2020-2022,SUV,Turbocharged Gas I4,4,4,Diesel,"['black', 'grey', 'brown']"
50,d3d8db77-f608-441f-b149-a4e387cb0ffc,BMW,X3 xDrive30i,248 hp,258 lb-ft,8-speed Automatic,AWD,23/29 mpg,4,"$43,000",2020-2022,SUV,Turbocharged Gas I4,4,4,CNG,"['red', 'white', 'silver']"
51,50c38ee7-f874-48c5-808b-8652b9a671b3,BMW,X5 xDrive40i,335 hp,330 lb-ft,8-speed Automatic,AWD,21/26 mpg,4,"$60,700",2020-2022,SUV,Turbocharged Gas I6,6,7,Diesel,"['red', 'white', 'black', 'silver', 'green', 'brown']"
52,8e10d5be-4d53-415d-bf2a-6d48f42b5932,BMW,330i Sedan,255 hp,295 lb-ft,8-speed Automatic,RWD,26/36 mpg,4,"$42,250",2020-2022,Sedan,Turbocharged Gas I4,4,5,Petrol,"['red', 'blue', 'black', 'silver', 'yellow', 'brown']"
53,bf6bc1d2-58dc-4a00-8c38-9f1d8d99046c,BMW,530i Sedan,248 hp,258 lb-ft,8-speed Automatic,RWD,24/34 mpg,4,"$56,400",2020-2022,Sedan,Turbocharged Gas I4,4,4,Petrol,"['red', 'white', 'blue', 'grey']"
54,9daa298c-0def-476e-8ac0-a1f245fbcc18,BMW,740i Sedan,335 hp,330 lb-ft,8-speed Automatic,RWD,22/29 mpg,4,"$86,800",2020-2022,Sedan,Turbocharged Gas I6,6,4,CNG,"['white', 'blue', 'black', 'grey', 'green']"
55,a7956db0-add6-477b-924b-27c6233b0d6b,BMW,M4 Coupe,473 hp,406 lb-ft,6-speed Manual,RWD,16/23 mpg,2,"$73,100",2020-2022,Coupe,Twin-Turbocharged Gas I6,6,7,Petrol,"['red', 'black', 'grey', 'green', 'silver']"
56,59870adf-511b-4c44-a7cd-acab74f88b10,BMW,M8 Convertible,600 hp,553 lb-ft,8-speed Automatic,AWD,15/21 mpg,2,"$142,500",2020-2022,Convertible,Twin-Turbocharged Gas V8,8,7,Petrol,"['red', 'white', 'blue', 'black', 'silver', 'grey', 'green']"
57,093f50f5-6866-44e1-be5a-99f203494cdb,Mercedes-Benz,C-Class,255 hp,273 lb-ft,9-speed automatic,RWD,24/35 mpg,4,"$43,200",2022,Sedan,Inline-4,4,4,CNG,"['white', 'blue', 'silver', 'yellow', 'silver']"
58,62e65046-116f-493a-9d54-0419ee7f278e,Mercedes-Benz,E-Class,255 hp,273 lb-ft,9-speed automatic,RWD,22/31 mpg,4,"$55,300",2022,Sedan,Inline-4,4,5,Diesel,"['red', 'blue', 'black', 'silver', 'grey', 'yellow']"
59,15f0000f-5185-412e-9f04-5195fd389913,Mercedes-Benz,S-Class,429 hp,384 lb-ft,9-speed automatic,AWD,16/24 mpg,4,"$109,800",2022,Sedan,V-8,8,7,Diesel,"['black', 'green', 'yellow']"
60,9cb8be4c-0b7d-4734-91ab-77ee3e757200,Mercedes-Benz,G-Class,416 hp,450 lb-ft,9-speed automatic,AWD,13/17 mpg,4,"$131,750",2022,SUV,V-8,8,2,CNG,['grey']
61,cbf64d2a-d12f-4462-935e-d6794368ffc0,Mercedes-Benz,GLC-Class,255 hp,273 lb-ft,9-speed automatic,RWD,22/29 mpg,4,"$43,200",2022,SUV,Inline-4,4,4,Diesel,"['red', 'white']"
62,7b2206bc-1a9c-4ff9-8462-c806e2d1f87b,Audi,A3,184 hp,221 lb-ft,7-speed auto-shift manual,Front-wheel drive,28/36 mpg,4 doors,"$33,300",2019-present,Sedan,2.0 L 4-cylinder,4,5,Petrol,"['red', 'white', 'blue', 'silver', 'grey', 'yellow', 'silver', 'brown']"
63,1e20a926-42cc-47ba-8bf1-9fd89bcb6a86,Audi,A4,201 hp,236 lb-ft,7-speed auto-shift manual,All-wheel drive,24/31 mpg,4 doors,"$39,100",2016-present,Sedan,2.0 L 4-cylinder,4,5,Diesel,"['red', 'white', 'black', 'silver', 'green', 'brown']"
64,c59e41fa-40bd-47c0-9bb0-982285beaf4b,Audi,A5,261 hp,273 lb-ft,7-speed auto-shift manual,All-wheel drive,24/31 mpg,2 doors,"$44,000",2018-present,Coupe,2.0 L 4-cylinder,4,2,Diesel,"['blue', 'silver', 'grey', 'green', 'yellow', 'brown']"
65,b3da992a-e3d8-4ac9-940a-b33028cbc503,Audi,Q3,228 hp,258 lb-ft,8-speed automatic,All-wheel drive,19/27 mpg,4 doors,"$36,000",2019-present,SUV,2.0 L 4-cylinder,4,4,Petrol,"['grey', 'green', 'brown']"
66,f4c3b669-7692-4640-8978-89d4f683d8eb,Audi,Q5,261 hp,273 lb-ft,7-speed auto-shift manual,All-wheel drive,22/27 mpg,4 doors,"$44,100",2018-present,SUV,2.0 L 4-cylinder,4,7,Diesel,"['red', 'white', 'silver', 'grey', 'yellow']"
67,e2fe196d-2e01-4104-b678-fb3f4fbc74a3,Audi,Q7,248 hp,273 lb-ft,8-speed automatic,All-wheel drive,19/23 mpg,4 doors,"$54,950",2017-present,SUV,2.0 L 4-cylinder,4,2,CNG,"['red', 'white', 'blue', 'grey', 'yellow', 'silver']"
68,a8331c36-3a27-4b12-bf32-c40168c463bc,Volkswagen,Golf,110-292,147-295,"Automatic, Manual","FWD, AWD",23-34 mpg,"2, 4","$23,195",1974-2022,Hatchback,"Gas, Diesel","4, 6",7,Petrol,"['white', 'blue', 'black', 'silver', 'green', 'brown']"
69,a5e82a0c-ea65-4cd8-a328-71224158ea10,Volkswagen,Jetta,147-228,184-258,"Automatic, Manual",FWD,25-36 mpg,4,"$18,995",1980-2022,Sedan,Gas,"4, 6",2,CNG,"['white', 'black', 'green', 'silver']"
70,6945b69b-0599-449a-94dc-c23a142e12f1,Volkswagen,Passat,174-276,206-295,"Automatic, Manual",FWD,23-34 mpg,"4, 5","$24,990",1973-2022,Sedan,"Gas, Diesel","4, 6, 2008",7,CNG,"['blue', 'black', 'silver', 'green', 'yellow', 'silver', 'brown']"
71,3639705d-199a-4cd2-a586-b9e1221fc892,Volkswagen,Atlas,235-276,258-266,Automatic,"FWD, AWD",18-22 mpg,"4, 5, 2007","$31,545",2018-2022,SUV,"Gas, Hybrid","4, 6, 2008",4,CNG,"['red', 'grey', 'yellow', 'brown']"
72,6d364576-f82d-4e1e-8662-30c3cb571531,Volkswagen,Tiguan,184-268,221-258,Automatic,"FWD, AWD",21-29 mpg,"4, 5, 2007","$25,245",2007-2022,SUV,Gas,"4, 6",4,Petrol,"['silver', 'green', 'yellow', 'brown']"
73,3bfd6560-cf27-470e-a384-a98e0b034111,Porsche,718 Boxster,300 hp,280 lb-ft,6-speed manual,RWD,21/28 mpg,2,"$62,000",2017-2021,Convertible,Turbocharged flat-4,4,4,Petrol,"['blue', 'silver', 'grey', 'green', 'yellow', 'silver']"
74,9d663c6e-1956-435e-b145-6c743b2fc3e0,Porsche,718 Cayman,300 hp,280 lb-ft,6-speed manual,RWD,21/28 mpg,2,"$61,500",2017-2021,Coupe,Turbocharged flat-4,4,5,Petrol,"['red', 'white', 'blue', 'silver', 'grey', 'yellow', 'brown']"
75,93718f5b-2685-4633-82b0-0cc69b61218a,Porsche,911,379 hp,331 lb-ft,8-speed PDK,AWD,20/29 mpg,2,"$101,200",2020-2021,Coupe/Convertible,Twin-turbocharged flat-6,6,2,CNG,"['red', 'white', 'black']"
76,7883a32f-6ef2-4026-8d9c-16be00eec0bc,Porsche,Panamera,325 hp,331 lb-ft,8-speed PDK,AWD,21/27 mpg,4,"$87,200",2020-2021,Sedan,Turbocharged V6,6,7,Petrol,['grey']
77,53290007-5216-4712-a5aa-c9b62ff40e3e,Porsche,Cayenne,335 hp,332 lb-ft,8-speed Tiptronic S,AWD,19/23 mpg,4,"$67,500",2020-2021,SUV,Turbocharged V6,6,7,Diesel,"['silver', 'grey', 'yellow', 'silver', 'brown']"
78,e8196cb2-534e-4fc4-a603-47d514aaae84,Porsche,Macan,248 hp,273 lb-ft,7-speed PDK,AWD,19/23 mpg,4,"$52,100",2020-2021,SUV,Turbocharged inline-4,4,4,Petrol,"['silver', 'green', 'brown']"
79,0eb91622-cb57-4c97-9266-5eedf6eaf30b,Rolls-Royce,Ghost,563,605 lb-ft,8-Speed Automatic,RWD,18 MPG,4,"$332,500",2010-2021,Sedan,V12,12,2,Petrol,"['silver', 'grey', 'yellow', 'silver']"
80,aab4a47d-29bb-4f92-9e2c-c80066a5f01f,Rolls-Royce,Wraith,624,590 lb-ft,8-Speed Automatic,RWD,14 MPG,2,"$338,700",2014-2021,Coupe,V12,12,4,CNG,"['red', 'blue', 'silver', 'green', 'silver', 'brown']"
81,6d829158-b8fd-45f5-a5be-b55d52f0b7ac,Rolls-Royce,Dawn,563,605 lb-ft,8-Speed Automatic,RWD,18 MPG,4,"$346,300",2016-2021,Convertible,V12,12,4,Petrol,"['red', 'black', 'grey', 'green']"
82,e588f594-7e73-4abc-b26a-4295e239ff4a,Rolls-Royce,Phantom,563,664 lb-ft,8-Speed Automatic,RWD,14 MPG,4,"$455,000",2004-2021,Sedan,V12,12,5,CNG,"['red', 'blue', 'grey', 'yellow', 'brown']"
83,9b15a992-5c27-437e-a6f0-2ed6175e05e1,Rolls-Royce,Cullinan,563,627 lb-ft,8-Speed Automatic,AWD,14 MPG,4,"$341,125",2019-2021,SUV,V12,12,2,Petrol,"['white', 'blue', 'silver']"
84,e9dfbb08-fd07-4bd1-99ec-c22f65c58b7f,McLaren,540C,533 hp,398 lb-ft,7-speed automatic,RWD,22 mpg combined,2,"$160,000",2016-2018,Coupe,V8,8,2,Petrol,"['blue', 'silver', 'grey', 'green', 'silver']"
85,b9e57d81-886e-4037-86fd-34da252ad699,McLaren,570S,562 hp,443 lb-ft,7-speed automatic,RWD,21 mpg combined,2,"$192,500",2016-2018,Coupe,V8,8,5,Petrol,"['red', 'white', 'blue', 'silver', 'silver', 'brown']"
