,Id,Company,Model,Horsepower,Torque,Transmission Type,Drivetrain,Fuel Economy,Number of Doors,Price,Model Year Range,Body Type,Engine Type,Number of Cylinders,Seats,Fuel Type,Colour
86,ab2f61a9-8a93-419c-bb73-7e37c6b3c219,McLaren,570GT,562 hp,443 lb-ft,7-speed automatic,RWD,20 mpg combined,2,"$202,950",2017-2018,Coupe,V8,8,4,Diesel,"['grey', 'green', 'yellow', 'brown']"
87,9668c2e7-c30c-451c-a0c7-8ee7c5cbd555,McLaren,600LT,592 hp,457 lb-ft,7-speed automatic,RWD,19 mpg combined,2,"$242,500",2019,Coupe,V8,8,2,Petrol,"['blue', 'silver', 'grey', 'yellow', 'silver', 'brown']"
88,19707683-29d7-4cf8-989c-a5d720d15996,McLaren,720S,710 hp,568 lb-ft,7-speed automatic,RWD,18 mpg combined,2,"$299,000",2018-2020,Coupe,V8,8,4,Diesel,"['white', 'silver', 'grey', 'yellow', 'silver']"
89,dd834856-b3a1-4e0e-a41b-b13de6109ffb,McLaren,Artura,671 hp,531 lb-ft,8-speed automatic,RWD,21 mpg combined,2,"$225,000",2022- present,Coupe,V6,6,2,Petrol,"['red', 'blue', 'black', 'silver', 'brown']"
90,5202db10-96ef-44a3-a658-2b4e4af1de6a,Lexus,ES,203-302,184-267 lb-ft,Automatic,FWD,25-44 mpg,4,"$39,900-$48,900",1989-Present,Sedan,Gas/Electric,4/6,7,CNG,"['red', 'white', 'black', 'silver', 'green', 'yellow', 'silver']"
91,5573acc0-7e23-44dc-9b9d-ff624b68853e,Lexus,IS,241-311,258-280 lb-ft,Automatic,RWD/AWD,22-32 mpg,4,"$39,050-$45,100",1998-Present,Sedan,Gas,4/6,4,CNG,"['white', 'blue', 'black', 'silver', 'green', 'yellow']"
92,44e8a7b6-2488-47e9-93a3-5eb596d68fa8,Lexus,GS,241-311,258-280 lb-ft,Automatic,RWD/AWD,20-28 mpg,4,"$51,065-$52,760",1993-2020,Sedan,Gas,6/8,4,Petrol,"['white', 'black', 'silver', 'grey', 'yellow', 'silver', 'brown']"
93,e61517c6-12f4-4f9f-ac02-ee452c78e6ba,Lexus,LS,416-471,442-398 lb-ft,Automatic,RWD/AWD,18-28 mpg,4,"$76,000-$82,825",1989-Present,Sedan,Gas/Hybrid,6/8,5,Petrol,"['white', 'blue', 'silver']"
94,9943e44a-61bc-4a20-8958-443bc0f509d3,Lexus,UX,169-181,151-151 lb-ft,CVT,FWD/AWD,29-39 mpg,4,"$32,900-$40,900",2019-Present,SUV,Gas/Hybrid,4,2,Diesel,"['red', 'white', 'black', 'silver', 'yellow', 'silver', 'brown']"
95,d0134836-c257-461d-8f29-0a5a1e8bf975,Lexus,NX,235-239,258 lb-ft,Automatic,FWD/AWD,22-33 mpg,4,"$38,935-$47,770",2015-Present,SUV,Gas/Hybrid,4,4,Diesel,"['red', 'silver', 'silver', 'brown']"
96,e73d526c-f68b-4da7-afff-f74dca4be222,Lexus,RX,290-308,263-268 lb-ft,Automatic,FWD/AWD,19-31 mpg,4/5,"$45,070-$50,620",1998-Present,SUV,Gas/Hybrid,6/8,2,Petrol,"['silver', 'green', 'yellow']"
97,b06d3933-ec49-40b1-a0a4-2e790cba8b44,Lexus,GX,301,329 lb-ft,Automatic,4WD,15-18 mpg,4/5,"$54,225-$64,365",2003-Present,SUV,Gas,8,5,Diesel,"['white', 'blue', 'black', 'silver', 'green', 'yellow']"
98,482cda53-1d6e-4e25-af23-8ac846b88d1f,Lexus,LX,383,403 lb-ft,Automatic,4WD,12-16 mpg,4/5,"$89,080-$99,710",1996-Present,SUV,Gas,8,5,Diesel,"['red', 'white', 'black', 'grey', 'green', 'brown']"
99,0c8f5332-9ecc-4047-93d0-f3348083c000,Hyundai,Elantra,147 - 201,132 - 195,"Manual, Automatic, CVT",FWD,33/43 mpg,4,"$19,650 - $28,100",2017 - 2022,Sedan,Inline-4,4,2,Petrol,"['white', 'blue', 'black', 'grey', 'green']"
100,9744815b-5dbd-408f-8432-9953ae1489ce,Hyundai,Sonata,191 - 290,181 - 311,"Automatic, Dual-Clutch","FWD, AWD",25/38 mpg,4,"$24,100 - $34,850",2018 - 2022,Sedan,"Inline-4, Inline-4 Hybrid, Inline-6","4, 6",7,Diesel,"['white', 'grey', 'yellow', 'silver']"
101,81c09d9d-4ab5-469e-9c42-37093e296cd0,Hyundai,Tucson,161 - 181,150 - 175,"Automatic, Dual-Clutch","FWD, AWD",23/33 mpg,4,"$24,950 - $37,350",2016 - 2022,SUV,"Inline-4, Inline-4 Hybrid",4,4,CNG,"['red', 'blue', 'black', 'silver', 'grey', 'green']"
102,0e6c406c-c417-405f-b8bd-cc29ae4fc949,Hyundai,Santa Fe,191 - 277,181 - 311,"Automatic, Dual-Clutch","FWD, AWD",21/28 mpg,4,"$28,025 - $43,200",2019 - 2022,SUV,"Inline-4, Inline-4 Hybrid, V6","4, 6",4,Petrol,"['blue', 'black', 'yellow', 'silver']"
103,e29433d1-85ed-4960-a80a-3229d3610737,Hyundai,Kona,147 - 195,132 - 195,"Automatic, Dual-Clutch","FWD, AWD",26/30 mpg,4,"$20,500 - $29,400",2018 - 2022,SUV,"Inline-4, Inline-4 EV",4,7,Petrol,"['red', 'white', 'silver', 'yellow']"
104,cc4c9a71-e11e-4a84-9569-daff1df0e122,Hyundai,Accent,120,113,CVT,FWD,33/41 mpg,4,"$17,900",2019-2021,Sedan,Gas,4,5,Petrol,"['white', 'blue', 'green', 'silver', 'brown']"
105,cb0f0b14-2823-44a1-9cbe-a34961fefd87,Hyundai,Palisade,291,262,8-speed automatic,FWD,19/26 mpg,4,"$33,700",2022,SUV,Gas,6,2,CNG,"['white', 'blue', 'black', 'silver', 'grey', 'yellow', 'silver', 'brown']"
106,842c8c9f-263a-443a-a291-93498e7aa8d3,Kia,Forte,147 hp,132 lb-ft,CVT or 6-speed manual,FWD,31/41 mpg,4,"$17,890 - $28,390",2019 - 2022,Sedan,2.0L 4-cylinder or 1.6L turbocharged 4-cylinder,4,2,Diesel,"['silver', 'grey', 'yellow', 'brown']"
107,2ad8e405-b02f-4530-aa9e-ec52c61088a7,Kia,Optima,185 hp - 290 hp,178 lb-ft - 311 lb-ft,6-speed automatic or 7-speed dual-clutch,FWD or AWD,24/33 mpg - 27/37 mpg,4,"$24,355 - $32,790",2019 - 2021,Sedan,"2.4L 4-cylinder, 1.6L turbocharged 4-cylinder, or 2.0L turbocharged 4-cylinder",4,2,CNG,"['black', 'silver', 'green', 'brown']"
108,e5d218c9-8e22-41c5-8dfd-b600d9eca25e,Kia,Stinger,255 hp - 368 hp,260 lb-ft - 376 lb-ft,8-speed automatic,RWD or AWD,17/25 mpg - 22/29 mpg,4,"$36,090 - $53,250",2018 - 2022,Sedan,2.0L turbocharged 4-cylinder or 3.3L twin-turbocharged V6,4 or 6,2,CNG,"['red', 'blue', 'black', 'green', 'yellow', 'silver', 'brown']"
109,1acdfa14-8d96-445e-b8cb-8c3c3faaea6a,Kia,Sorento,191 hp - 281 hp,181 lb-ft - 311 lb-ft,6-speed automatic or 8-speed automatic,FWD or AWD,21/29 mpg - 22/29 mpg,4 or 5,"$29,390 - $42,590",2019 - 2022,SUV,"2.4L 4-cylinder, 2.5L turbocharged 4-cylinder, or 3.3L V6",4 or 6,7,CNG,"['red', 'white', 'blue']"
110,567571ff-3292-4d38-96b7-64f1ad31ae3c,Kia,Soul,147 hp - 201 hp,132 lb-ft - 195 lb-ft,"6-speed manual, CVT, or 7-speed dual-clutch",FWD,27/33 mpg - 29/35 mpg,4,"$19,190 - $28,350",2020 - 2022,Hatchback,2.0L 4-cylinder or 1.6L turbocharged 4-cylinder,4,2,Petrol,"['red', 'black', 'green', 'yellow', 'silver']"
111,8518acbc-51d3-4b32-9afa-e6f39f911489,Kia,Telluride,291 hp,262 lb-ft,8-speed automatic,FWD or AWD,19/26 mpg - 20/27 mpg,4 or 5,"$32,790 - $47,390",2020 - 2022,SUV,3.8L V6,6,2,Petrol,"['white', 'blue', 'black', 'silver', 'brown']"
112,da7d92dc-ea67-42f2-8878-d91e88d66580,Mazda,MX-5,181,151,Manual,RWD,29/34 mpg,2,"$26,830",2019-2022,Convertible,Gasoline,4,2,Diesel,"['yellow', 'silver', 'brown']"
113,13d22897-8806-4805-944b-b620f7e59a9d,Mazda,Mazda3,155-250,150-320,"Automatic, Manual","FWD, AWD",26-36 mpg,"4, 5","$20,650",2019-2022,"Sedan, Hatchback",Gasoline,"4, 6",2,Petrol,"['white', 'black', 'grey', 'green', 'yellow', 'silver', 'brown']"
114,f682cdc4-a52a-4454-9b14-3617869eeaba,Mazda,Mazda6,187-250,186-310,"Automatic, Manual",FWD,23-31 mpg,"4, 5","$24,325",2019-2022,Sedan,Gasoline,"4, 6",4,CNG,"['blue', 'black', 'silver', 'grey', 'green', 'yellow', 'silver']"
115,3ecb4c8c-626a-4f42-9a74-54e6286fe164,Mazda,CX-3,146,146,Automatic,"FWD, AWD",29-34 mpg,4,"$20,640",2019-2022,SUV,Gasoline,4,5,CNG,"['blue', 'silver', 'green', 'silver', 'brown']"
116,ba233813-abb1-440b-abf0-8a80394ce63d,Mazda,CX-5,187-227,186-310,Automatic,"FWD, AWD",24-31 mpg,"4, 5","$25,270",2019-2022,SUV,Gasoline,"4, 6",7,Diesel,"['red', 'white', 'silver', 'green', 'silver']"
117,af6ea01f-c518-471f-95bb-a7191bc816fb,Mazda,CX-9,227-250,310,Automatic,"FWD, AWD",22-26 mpg,"4, 6, 2007","$35,060",2019-2022,SUV,Gasoline,"4, 6",7,Diesel,"['black', 'silver', 'yellow', 'silver', 'brown']"
118,05c27ce2-6676-45e9-8148-66761ca21b31,Subaru,Ascent,260 hp,277 lb-ft,CVT,AWD,23/27 mpg,4,"$32,295",2019-2022,SUV,H4,4,2,Diesel,"['grey', 'yellow', 'silver', 'brown']"
119,ce748c8b-c474-4612-b830-a1e2b310bb69,Subaru,Impreza,152 hp,145 lb-ft,5-speed manual,AWD,24/31 mpg,4/5,"$18,795",2019-2022,Hatchback,H4,4,4,Diesel,"['black', 'silver', 'yellow']"
120,b2f6a0ae-7378-4f62-a06c-beb5bd8b8f2b,Subaru,Legacy,182 hp,176 lb-ft,CVT,AWD,27/35 mpg,4/5,"$22,995",2019-2022,Sedan,H4,4,2,CNG,"['white', 'black', 'yellow']"
121,e0d6fdd9-4846-496d-82a0-803ed3a366ea,Subaru,Outback,182 hp,176 lb-ft,CVT,AWD,26/33 mpg,4/5,"$26,795",2019-2022,Wagon/SUV,H4,4,4,Diesel,"['red', 'white', 'silver', 'green', 'silver', 'brown']"
122,2479aa0a-26e2-473a-be9e-f18afc1ec20d,Subaru,BRZ,205 hp,156 lb-ft,6-speed manual,RWD,21/29 mpg,2,"$28,845",2019-2022,Coupe,H4,4,5,Petrol,"['white', 'black', 'grey', 'green', 'yellow', 'silver']"
123,a6c2ac8b-50a4-4d73-ad95-61726f64f8ba,Subaru,WRX,268 hp,258 lb-ft,6-speed manual,AWD,20/27 mpg,4,"$27,495",2019-2022,Sedan,H4,4,5,Diesel,"['red', 'silver']"
124,f2207be2-31ce-4172-aa86-dfc2a2bd0f82,Subaru,Crosstrek,152 hp,145 lb-ft,CVT,AWD,27/34 mpg,4/5,"$22,245",2019-2022,Wagon/SUV,H4,4,5,Petrol,"['blue', 'black', 'silver', 'grey', 'brown']"
125,bcc1b08f-1054-4954-8d26-3e5099eb7095,Subaru,Crosstrek Hybrid,137 hp (gasoline engine) 118 hp (electric motor),134 lb-ft,CVT,AWD,35/90 mpg,4/5,"$36,395",2019-2022,Wagon/SUV,H4,4,4,Diesel,"['red', 'white', 'silver', 'grey', 'green', 'yellow', 'silver']"
126,05c47c83-0bd5-4eb8-adde-e2521f9278fe,Mitsubishi,Outlander,166 hp,162 lb-ft,CVT,"FWD, AWD",27/30 mpg,4,"$26,570 - $34,420",2014 - Present,SUV,2.4L I4,4,4,Diesel,"['blue', 'brown']"
127,07350150-3e5b-4673-8c84-5463c6486b8c,Mitsubishi,Eclipse Cross,152 hp,184 lb-ft,CVT,"FWD, AWD",25/28 mpg,4,"$24,590 - $31,490",2018 - Present,SUV,1.5L I4,4,2,Diesel,"['red', 'white', 'silver', 'green', 'yellow', 'silver', 'brown']"
128,384534c4-aa9e-4ba9-a0ef-141bceacec53,Mitsubishi,Mirage,78 hp,74 lb-ft,CVT,FWD,36/43 mpg,4,"$14,295 - $16,995",2014 - Present,Hatchback,1.2L I3,3,5,Diesel,"['red', 'white', 'grey', 'green', 'silver']"
129,00aaf95f-4f7e-4f7e-884f-d09ef303a558,Mitsubishi,Mirage G4,78 hp,74 lb-ft,CVT,FWD,35/41 mpg,4,"$15,295 - $16,995",2017 - Present,Sedan,1.2L I3,3,7,Diesel,"['red', 'blue', 'black', 'silver', 'grey', 'silver']"
130,1194a4dd-2620-45a1-9674-847a7aa0d6ad,Mitsubishi,Outlander Sport,148 hp,145 lb-ft,CVT,"FWD, AWD",24/30 mpg,4,"$23,590 - $25,590",2011 - Present,SUV,2.0L I4,4,7,Petrol,"['red', 'white', 'blue', 'silver', 'grey', 'green', 'yellow', 'silver']"
131,07106607-a25e-4175-8a1d-3e847f1e4b70,Tesla,Model S,670-1020 hp,713-920 lb-ft,Single-Speed Automatic,AWD,326-402 miles per charge,4,"$79,990-$169,990",2012-2023,Sedan,Electric,0,7,Diesel,"['blue', 'black', 'green', 'silver']"
132,5ceeb53f-bf06-475d-a1de-85e770d160d4,Tesla,Model 3,283-450 hp,307-471 lb-ft,Single-Speed Automatic,RWD or AWD,263-358 miles per charge,4,"$39,990-$59,990",2017-2023,Sedan,Electric,0,2,Diesel,"['white', 'blue', 'silver']"
133,d22dd131-7d39-41f7-afa1-bdd53d2f44a1,Tesla,Model X,670-1020 hp,713-920 lb-ft,Single-Speed Automatic,AWD,299-371 miles per charge,4 or 5,"$89,990-$139,990",2015-2023,SUV,Electric,0,7,CNG,"['red', 'white', 'blue', 'black', 'silver']"
134,0bc56e21-402d-4e84-83c6-c79f6a4403b7,Tesla,Model Y,283-450 hp,307-471 lb-ft,Single-Speed Automatic,RWD or AWD,244-326 miles per charge,4 or 5,"$41,190-$63,190",2020-2023,SUV,Electric,0,5,CNG,"['red', 'silver', 'brown']"
135,ba7142bb-2670-461c-98a1-616cdabb8499,Dodge,Challenger,375-797 hp,410-470 lb-ft,8-speed automatic,RWD/AWD,19/30 mpg,2-4,"Starting at $31,490",2023-2024,Coupe,V6/V8/HEMI,6-8,5,CNG,"['white', 'black', 'silver', 'grey']"
136,544ed66b-42f3-483a-be85-85f71c31f068,Dodge,Charger,370-797 hp,395-470 lb-ft,8-speed automatic,RWD/AWD,19/30 mpg,4,"Starting at $30,290",2023-2024,Sedan,V6/V8/HEMI,6-8,4,Petrol,"['blue', 'grey', 'green', 'silver']"
137,35689832-fe8b-4612-aeb1-bd81b6bfaef9,Dodge,Durango,295-395 hp,260-410 lb-ft,8-speed automatic,RWD/4WD,17/25 mpg,5,"Starting at $33,090",2023-2024,SUV,V6/V8,6-8,5,Diesel,"['red', 'white', 'blue', 'yellow']"
138,693567f1-837b-45f5-a8f3-bfb61ab75c35,Dodge,Journey,174-292 hp,166-260 lb-ft,9-speed automatic,FWD/AWD,21/31 mpg,5,"Starting at $23,690",2023-2024,SUV,4-cylinder,4,4,Petrol,"['white', 'black', 'green', 'brown']"
139,c1e386df-f856-48c9-9d69-8a24e49dfcc2,Dodge,RAM 1500,295-410 hp,330-429 lb-ft,8-speed automatic,RWD/4WD,16/23 mpg,2-4,"Starting at $29,995",2023-2024,Truck,V6/V8,6-8,2,CNG,"['red', 'silver', 'green', 'yellow', 'silver']"
140,a67c543f-dd05-4bd3-8842-39d7f9d79dc9,Dodge,RAM 2500,350-420 hp,460-485 lb-ft,6-speed automatic,RWD/4WD,14/20 mpg,2-4,"Starting at $35,595",2023-2024,Truck,V6/V8,6-8,5,CNG,"['red', 'blue', 'silver', 'grey', 'green']"
141,ddcc4ae2-35af-4d79-9947-2b4af1dc4485,Dodge,RAM 3500,375-420 hp,460-485 lb-ft,6-speed automatic,RWD/4WD,14/20 mpg,2-4,"Starting at $39,145",2023-2024,Truck,V6/V8,6-8,7,CNG,"['red', 'white', 'grey', 'green', 'yellow']"
142,0427c3f7-b6c5-4193-b2ff-795370c8a57f,Ram,1500,295-410 hp,330-429 lb-ft,8-speed automatic,RWD/4WD,16/23 mpg,2-4,"Starting at $29,995",2023-2024,Truck,V6/V8,6-8,7,CNG,"['black', 'silver', 'green', 'silver', 'brown']"
143,853975cb-925d-4c1b-9ab7-bf9d37fbb911,Ram,2500,350-420 hp,460-485 lb-ft,6-speed automatic,RWD/4WD,14/20 mpg,2-4,"Starting at $35,595",2023-2024,Truck,V6/V8,6-8,4,Diesel,"['red', 'black', 'silver', 'grey', 'brown']"
144,748c24c0-22c7-4ae4-a580-72d91d16f8fb,Ram,3500,375-420 hp,460-485 lb-ft,6-speed automatic,RWD/4WD,14/20 mpg,2-4,"Starting at $39,145",2023-2024,Truck,V6/V8,6-8,5,Petrol,"['red', 'white', 'green', 'yellow']"
145,baaf2f11-d174-4527-8f4f-8cbf9664c042,Ram,TRX,702 hp,650 lb-ft,8-speed automatic,RWD/4WD,12/17 mpg,2-4,"Starting at $79,995",2023-2024,Truck,V8,8,4,CNG,"['red', 'grey', 'green', 'silver', 'brown']"
146,812e0366-68df-4828-9c36-6f5025b32f5b,Volvo,XC40,187 hp,221 lb-ft,8-speed automatic,FWD/AWD,23/32 mpg,5,"Starting at $33,100",2023-2024,SUV,4-cylinder,4,4,CNG,"['red', 'white', 'blue', 'silver', 'grey', 'green', 'yellow', 'brown']"
147,fb5d6e48-2d5f-4200-ba1e-6b221f1a9666,Volvo,XC60,250 hp,258 lb-ft,8-speed automatic,FWD/AWD,22/30 mpg,5,"Starting at $41,900",2023-2024,SUV,4-cylinder,4,2,Petrol,"['silver', 'grey']"
148,b57e4b0d-eb09-435f-9d2d-da08f7099294,Volvo,XC90,250 hp,295 lb-ft,8-speed automatic,FWD/AWD,19/27 mpg,5,"Starting at $49,900",2023-2024,SUV,4-cylinder,4,7,CNG,"['white', 'silver', 'brown']"
149,70e466b2-3042-4d73-8e49-3637bc5c7eee,Volvo,S60,250 hp,258 lb-ft,8-speed automatic,FWD/AWD,23/31 mpg,4,"Starting at $39,900",2023-2024,Sedan,4-cylinder,4,4,CNG,"['black', 'silver', 'green', 'yellow', 'silver', 'brown']"
150,459008f8-ab29-4f38-937d-08c9a1680c13,Volvo,V60,250 hp,258 lb-ft,8-speed automatic,FWD/AWD,23/31 mpg,5,"Starting at $41,900",2023-2024,Wagon,4-cylinder,4,4,CNG,"['red', 'black', 'green', 'silver', 'brown']"
151,739cff49-d2f6-40da-a590-845a371dddd5,Volvo,C40 Recharge,408 hp,487 lb-ft,Single-speed automatic,FWD,79 MPGe,5,"Starting at $45,900",2023-2024,SUV,Electric,0,5,Diesel,"['white', 'blue', 'grey', 'silver']"
152,d3dcbeef-4421-47f0-8a0c-6d4aac7f62e1,Volvo,XC40 Recharge,408 hp,487 lb-ft,Single-speed automatic,FWD,79 MPGe,5,"Starting at $49,900",2023-2024,SUV,Electric,0,4,Petrol,"['red', 'white', 'blue', 'black', 'silver', 'grey', 'brown']"
153,d510af53-f55e-469e-b56d-a1868981e7b4,Volvo,Polestar 2,408 hp,487 lb-ft,Single-speed automatic,RWD,87 MPGe,5,"Starting at $45,900",2023-2024,Sedan,Electric,0,5,Diesel,"['red', 'yellow', 'silver']"
154,03bd2a9b-6643-426e-978f-abf8ad0dc8ba,Land Rover,Defender,296 hp,317 lb-ft,8-speed automatic,RWD/4WD,19/24 mpg,5,"Starting at $42,250",2023-2024,SUV,4-cylinder,6,7,Petrol,"['white', 'silver', 'grey', 'silver']"
155,b46ff36f-2624-49a1-b3b3-db01eaedad46,Land Rover,Discovery,355 hp,369 lb-ft,8-speed automatic,RWD/4WD,18/25 mpg,5,"Starting at $55,950",2023-2024,SUV,V6,6,4,Diesel,"['white', 'blue', 'black', 'silver', 'grey', 'brown']"
156,7f15b7ef-db48-499e-b351-848bd31df2e8,Land Rover,Discovery Sport,247 hp,269 lb-ft,9-speed automatic,FWD/AWD,22/29 mpg,5,"Starting at $40,900",2023-2024,SUV,4-cylinder,4,7,Petrol,"['red', 'white', 'blue', 'black']"
157,63cfd24e-4157-406c-8930-bbad0e057ffc,Land Rover,Range Rover,395 hp,406 lb-ft,8-speed automatic,RWD/4WD,18/25 mpg,5,"Starting at $87,995",2023-2024,SUV,V6,6,7,Petrol,"['red', 'blue', 'silver', 'brown']"
158,3bd9879c-b8bd-4f5a-b62a-f9a02e9eadc7,Land Rover,Range Rover Evoque,247 hp,269 lb-ft,9-speed automatic,FWD/AWD,22/29 mpg,5,"Starting at $42,650",2023-2024,SUV,4-cylinder,4,7,Petrol,"['red', 'blue', 'black', 'silver', 'yellow', 'silver', 'brown']"
159,794519e5-7c24-4f23-91f2-a238d11f85ac,Land Rover,Range Rover Sport,395 hp,406 lb-ft,8-speed automatic,RWD/4WD,18/25 mpg,5,"Starting at $68,250",2023-2024,SUV,V6,6,2,CNG,"['red', 'white', 'blue', 'silver', 'grey', 'green', 'brown']"
160,d7461811-ddc3-49bb-98db-4df2156c26af,Jaguar,I-PACE,395 hp,516 lb-ft,Single-speed automatic,Rear-wheel drive,79 MPGe,5,"Starting at $69,900",2023-2024,SUV,Electric,0,7,Petrol,"['red', 'white', 'black', 'silver', 'grey', 'green', 'yellow', 'brown']"
161,7be28dee-5dee-4a9c-9481-5a1a4d42e89c,Jaguar,F-PACE,296 hp,317 lb-ft,8-speed automatic,All-wheel drive,20/27 mpg,5,"Starting at $45,900",2023-2024,SUV,4-cylinder,6,4,Diesel,"['red', 'blue', 'black', 'grey', 'green', 'silver']"
162,6b2a9eb9-d3f9-4949-8bc4-c8d0dcc2d5bb,Jaguar,F-TYPE,380 hp,339 lb-ft,8-speed automatic,Rear-wheel drive,18/25 mpg,2,"Starting at $65,000",2023-2024,Coupe,V6,6,2,CNG,"['white', 'black', 'grey', 'green', 'yellow', 'brown']"
163,27ce04e6-e3a9-40b9-b64e-39cf4a322550,Jaguar,XE,296 hp,317 lb-ft,8-speed automatic,Rear-wheel drive,22/30 mpg,4,"Starting at $39,900",2023-2024,Sedan,4-cylinder,6,4,CNG,"['red', 'white', 'black', 'silver', 'green', 'silver']"
164,92217eee-b17f-46b8-84f4-1ebf59a19501,Jaguar,XF,380 hp,339 lb-ft,8-speed automatic,Rear-wheel drive,19/26 mpg,4,"Starting at $49,900",2023-2024,Sedan,V6,6,2,Petrol,"['black', 'yellow', 'silver']"
165,edb55ae4-2296-4f0a-9c15-83fda4d3c2e0,Fiat,500,70 hp,74 lb-ft,5-speed manual,Front-wheel drive,29/38 mpg,3,"Starting at $19,990",2023-2024,Hatchback,4-cylinder,4,7,Diesel,"['red', 'white', 'blue', 'grey', 'yellow', 'silver', 'brown']"
166,4cb7e456-0884-468c-8d78-cf8a7bd66ab4,Fiat,500X,160 hp,177 lb-ft,9-speed automatic,Front-wheel drive,24/31 mpg,5,"Starting at $24,990",2023-2024,SUV,4-cylinder,4,7,Diesel,"['white', 'blue', 'silver', 'grey', 'green', 'silver']"
167,311b6583-f42d-4f29-8a5b-8e0154525ac6,Fiat,124 Spider,160 hp,184 lb-ft,6-speed manual,Rear-wheel drive,24/31 mpg,2,"Starting at $24,990",2023-2024,Convertible,4-cylinder,4,5,Diesel,"['blue', 'black', 'grey', 'green', 'silver', 'brown']"
168,7af58717-5973-43d7-84fe-97d660e0fc5d,Alfa Romeo,Giulia,280 hp,306 lb-ft,8-speed automatic,Rear-wheel drive,23/32 mpg,4,"Starting at $39,900",2023-2024,Sedan,4-cylinder,4,7,CNG,"['silver', 'green', 'yellow', 'silver', 'brown']"
169,3c63742f-e158-4d80-adc7-290a9b26b8eb,Alfa Romeo,Giulia Quadrifoglio,505 hp,443 lb-ft,8-speed automatic,Rear-wheel drive,18/23 mpg,4,"Starting at $70,900",2023-2024,Sedan,V6,6,7,Diesel,"['black', 'yellow', 'brown']"
170,ee25c7c7-d3b5-4db2-bc73-b689db152760,Alfa Romeo,Stelvio,280 hp,306 lb-ft,8-speed automatic,All-wheel drive,21/27 mpg,5,"Starting at $41,900",2023-2024,SUV,4-cylinder,4,7,Diesel,"['white', 'blue', 'black', 'silver', 'brown']"
